B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,label
1298.0,4754.5,4039.5,1309.0,1548.0,1658.0,1639.0,1765.0,1947.0,2290.5,2420.5,2215.5,tambang
2229.5,2862.5,2583.0,1966.0,2010.0,2136.5,2324.0,2420.0,2459.5,2270.0,2598.0,4171.0,tambang
1405.5,2218.0,2056.5,1035.5,1089.5,1193.5,1348.5,1393.5,1459.0,1417.0,1622.5,2912.5,tambang
1564.5,2381.0,2167.0,1528.0,1610.0,1675.0,2099.0,2066.0,2030.0,1789.0,2074.0,2721.5,tambang
1952.0,2718.5,2480.0,2060.0,2011.0,2066.0,2245.5,2234.5,2287.0,2220.5,2393.5,3459.0,tambang
2817.0,3108.5,2866.5,2715.0,2661.5,2695.0,2982.5,2955.5,2946.5,2799.0,2931.0,4910.5,tambang
1252.5,1970.5,1823.5,1134.0,1148.5,1165.5,1330.0,1312.0,1346.5,1370.0,1437.0,2402.0,tambang
1000.0,1692.0,1555.0,938.0,1041.0,1124.5,1196.0,1164.5,1193.5,1200.0,1230.0,1952.5,tambang
1141.0,1626.5,1431.5,1140.0,1184.5,1143.0,1201.0,1180.5,1173.0,1318.0,1233.0,2513.5,tambang
1843.0,2794.0,2451.5,1830.0,1855.5,1986.5,2347.0,2345.0,2387.0,2126.0,2575.5,3496.5,tambang
1524.0,2425.0,2212.0,1479.0,1511.5,1594.0,1720.5,1783.0,1802.5,1821.0,1928.5,2952.0,tambang
4114.0,3810.0,3489.5,4228.0,4218.0,4168.0,4312.0,4197.0,4114.0,4016.5,4109.0,6171.0,tambang
2182.5,2818.5,2491.0,2573.0,2572.0,2604.0,2684.5,2602.5,2531.0,2759.5,2549.5,3868.5,tambang
1678.5,2287.0,2121.0,1555.5,1662.0,1819.0,1993.0,1948.0,1962.0,1816.5,1963.0,3539.5,tambang
1520.0,2286.5,2026.5,1274.0,1371.0,1389.5,1624.5,1713.5,1754.5,1700.5,1830.5,2858.0,tambang
942.0,1649.0,1557.5,891.5,884.0,912.0,1018.5,1053.0,1093.5,1144.0,1203.5,1939.5,tambang
1357.5,2237.5,1840.0,1355.5,1370.5,1398.0,1635.0,1711.5,1761.0,1844.0,1857.0,3035.0,tambang
1548.5,2395.0,2201.5,1525.0,1511.5,1549.0,1717.5,1714.5,1752.5,1762.5,1889.0,3127.0,tambang
1573.0,2326.0,2194.5,1374.0,1426.0,1464.0,1648.5,1667.0,1722.5,1680.5,1865.5,3212.0,tambang
2445.5,2335.5,2044.5,2056.5,2098.0,2214.0,2389.0,2269.0,2893.0,2241.5,2801.5,4686.5,tambang
2019.0,2584.5,2504.5,1814.0,1828.0,1982.0,2205.5,2185.0,2211.0,1983.5,2247.5,3438.0,tambang
2180.5,2603.5,2495.0,2135.0,2243.0,2357.0,2592.0,2509.5,2450.5,2324.0,2458.5,3851.5,tambang
2796.0,3008.0,2863.5,2614.0,2771.0,2872.0,3134.5,3030.0,3014.5,2806.5,3017.5,5010.0,tambang
3971.5,3925.0,3485.5,4276.0,4422.0,4490.0,4587.5,4452.0,4353.5,4165.5,4230.0,6319.0,tambang
3455.0,3346.5,2916.0,3548.0,3657.0,3657.0,3815.0,3686.0,3677.5,3581.5,3565.0,5429.5,tambang
1924.5,2378.0,2073.0,1657.0,1846.0,1919.0,2049.5,2061.0,2036.5,2029.0,2067.0,3318.0,tambang
2812.0,3173.0,2811.5,2917.0,2928.0,3023.0,3261.5,3187.5,3169.5,3093.0,3167.0,4791.0,tambang
1278.0,1958.0,1865.0,1148.0,1133.0,1210.0,1368.0,1390.0,1422.5,1347.0,1522.0,2445.0,tambang
1775.0,2185.0,1770.5,1838.0,2197.0,2364.0,2327.5,2218.0,2182.5,2211.5,2089.5,3259.0,tambang
3144.0,2955.0,2582.5,2795.0,2913.0,2981.0,3137.0,3005.0,2994.5,3000.5,2931.5,5287.0,tambang
3516.5,3814.0,3109.0,3464.0,3600.0,3722.0,3949.5,3947.5,3942.0,3779.0,3973.5,5968.5,tambang
2847.5,3733.0,3072.5,2768.0,2807.0,2921.0,3242.5,3221.0,3264.0,3414.5,3402.5,5452.0,tambang
3819.0,5274.5,4424.0,3443.0,3470.0,3680.0,4042.0,4090.5,4230.0,3993.5,4557.5,7026.5,tambang
2863.5,3696.5,3369.5,2638.0,2621.0,2700.0,2893.0,2859.5,2934.5,2969.5,3105.0,4921.0,tambang
2128.0,3543.0,3020.5,2201.0,2344.0,2578.0,2798.5,2807.5,2855.0,2767.0,2947.0,4096.0,tambang
2146.5,3635.0,3026.5,2126.0,2364.0,2607.0,2886.0,2912.5,3004.5,2954.5,3108.0,4235.5,tambang
2149.5,3083.0,2913.0,2398.0,2593.0,2777.0,2973.5,2935.0,2973.5,2784.0,2939.5,3854.0,tambang
2311.0,3125.5,2954.0,2286.0,2480.0,2638.0,2813.0,2781.0,2796.5,2807.5,2836.5,4182.5,tambang
2352.0,3055.0,2853.0,2206.0,2368.0,2483.0,2674.5,2672.0,2722.0,2685.0,2776.5,4321.0,tambang
2460.0,3261.0,2981.5,2432.0,2603.0,2664.0,2915.0,2908.5,2905.0,2896.0,2938.5,4224.0,tambang
2132.5,2643.5,2482.5,2150.0,2122.0,2239.0,2290.0,2357.5,2374.0,2269.5,2417.5,3295.5,tambang
2061.5,2963.0,2597.5,2011.0,2110.0,2299.0,2505.0,2465.5,2520.0,2460.0,2607.0,3565.5,tambang
2414.0,3191.0,2876.0,2510.0,2605.0,2724.0,2905.5,2897.0,2901.5,2881.0,2941.0,4388.5,tambang
2421.0,3346.5,3056.5,2460.0,2586.0,2763.0,2952.0,2937.0,3011.5,2953.0,3043.0,4199.0,tambang
2556.0,3454.5,3120.0,2488.0,2576.0,2751.0,2907.5,2928.5,2951.0,2986.5,3044.5,4427.5,tambang
2157.5,3842.0,3310.5,2472.0,2561.0,2764.0,2975.0,2941.5,3000.5,3067.0,3150.5,4249.0,tambang
2114.5,3900.0,3322.5,2179.0,2321.0,2562.0,2755.5,2801.0,2883.5,2886.0,3048.0,4145.0,tambang
1963.5,2904.0,2544.0,2007.0,2195.0,2365.0,2446.5,2414.5,2422.0,2414.5,2459.0,3574.5,tambang
2901.0,3685.5,3187.5,2823.0,2806.0,2900.0,3069.5,3062.0,3130.5,3190.0,3326.5,5066.0,tambang
3116.5,3933.0,3206.0,2917.5,2929.0,3016.0,3370.0,3498.0,3597.0,3678.0,3801.5,5578.5,tambang
3456.0,4487.0,3822.5,3421.0,3472.0,3613.0,3782.0,3748.0,3841.0,3963.5,4077.0,5907.0,tambang
2218.5,3430.0,3127.5,2115.0,2203.0,2319.0,2446.5,2470.0,2546.0,2623.0,2737.5,4057.5,tambang
2633.5,3470.5,3044.5,2832.0,2918.0,3010.0,3152.0,3065.5,3082.5,3171.5,3173.0,4558.5,tambang
2254.5,4084.5,3441.5,2310.0,2510.0,2675.0,2723.5,2759.5,2844.5,3058.5,3039.0,2730.5,tambang
2179.0,3985.5,3257.5,2179.0,2367.0,2666.0,2988.0,3056.0,3186.0,3074.0,3352.0,2907.0,tambang
2120.5,2705.0,2465.0,2060.0,2127.0,2224.0,2511.5,2538.5,2574.0,2454.0,2623.5,4028.0,tambang
2228.5,2732.5,2499.0,2296.0,2347.0,2385.0,2542.5,2591.0,2581.0,2659.0,2680.5,4031.5,tambang
2651.0,4432.5,3744.0,2461.0,2492.0,2613.0,2845.0,2902.0,3020.5,3015.0,3404.0,5356.0,tambang
2830.0,4098.5,3408.5,2599.0,2612.5,2673.5,3028.5,3146.0,3263.0,3328.0,3517.0,5920.5,tambang
1978.5,5222.0,4348.5,2239.0,2190.0,2261.0,2243.5,2349.5,2559.5,2821.0,3083.0,2581.5,tambang
2320.5,4505.5,3808.5,2325.0,2460.0,2495.0,2572.0,2654.0,2806.0,3136.5,3193.0,4654.0,tambang
2241.5,5327.5,4585.0,2308.0,2273.0,2353.0,2547.0,2564.5,2738.0,2976.0,3160.0,5339.5,tambang
2674.5,4651.5,4080.5,2662.0,2697.0,2782.0,2957.0,2952.5,3044.5,3275.0,3340.5,5387.5,tambang
4424.5,5488.5,4462.5,4429.0,4269.0,4262.0,4496.0,4400.0,4475.5,4559.5,4707.5,7298.0,tambang
3167.0,5100.5,4330.5,3223.0,3173.0,3236.0,3388.5,3384.0,3499.5,3674.0,3797.5,5996.5,tambang
1480.5,4399.0,3690.0,1454.0,1498.0,1616.0,1731.0,1851.5,2040.5,2221.0,2575.0,2160.0,tambang
1521.5,4742.5,3707.5,2001.0,1985.0,2069.0,1799.0,2114.0,2348.5,2942.5,2951.0,2625.0,tambang
2110.5,3361.5,2665.5,1686.0,1741.5,1839.0,2155.0,2432.0,2599.0,2658.5,2899.0,4774.0,tambang
1140.0,4252.0,3386.5,798.5,909.5,1063.0,1461.5,1805.5,2096.0,2051.5,2692.0,2397.0,tambang
1564.0,4822.0,3897.0,1641.0,1661.0,1765.0,1953.5,2151.0,2372.0,2580.5,2924.0,2556.5,tambang
2231.5,4996.0,4367.0,2315.0,2365.0,2454.0,2866.0,2905.5,3041.5,3074.5,3444.5,4818.0,tambang
1303.5,3874.5,3132.5,844.0,948.0,1077.5,1542.0,1678.5,1877.0,1836.5,2322.0,2654.0,tambang
1652.0,3626.0,2833.5,1942.0,1975.0,2018.0,2250.5,2426.0,2590.0,2669.0,2881.5,2265.5,tambang
2935.5,4262.0,3738.0,2854.0,2833.0,2948.0,3241.5,3426.5,3536.0,3483.0,3751.0,5472.5,tambang
1565.0,5231.0,4365.0,1372.0,1399.0,1584.0,1960.5,2153.5,2406.5,2447.0,3066.0,2645.0,tambang
2707.0,4323.0,3542.5,2646.0,2618.0,2673.0,2814.5,2840.5,2946.5,3153.5,3252.0,5369.0,tambang
5256.0,6481.5,5357.0,5100.0,4935.0,5055.0,5278.5,5236.5,5343.0,5440.5,5715.5,9267.5,tambang
3809.5,4876.0,3832.0,3847.0,3715.0,3758.0,3985.0,3894.0,3932.0,4011.5,4163.5,6857.0,tambang
4137.0,5629.5,4611.5,4047.0,3982.0,4023.0,4356.5,4257.5,4314.0,4377.5,4598.0,7801.0,tambang
930.0,4342.0,3345.5,989.0,1075.5,1139.0,1287.0,1599.5,1846.0,2160.0,2365.5,2160.0,tambang
871.5,3645.5,2803.5,1083.0,1243.0,1239.0,1266.5,1623.5,1857.0,2261.5,2337.5,1942.5,tambang
637.0,2981.5,1942.5,425.5,598.0,642.5,1095.0,1726.0,2004.0,2225.5,2437.0,2026.0,tambang
911.0,4253.5,3303.5,931.0,997.0,1081.0,1257.5,1532.0,1770.0,2012.5,2260.5,2088.0,tambang
725.0,3317.5,2529.0,552.0,690.0,703.0,1029.0,1358.0,1577.0,1693.0,2009.5,1742.5,tambang
992.0,4920.0,3899.0,1007.5,1073.5,1117.0,1258.5,1485.5,1715.0,2014.5,2278.0,1909.0,tambang
1627.0,5968.5,4762.5,1772.0,1945.0,2104.0,2118.5,2270.0,2539.0,2860.0,3093.0,2615.0,tambang
2050.5,6062.5,5261.0,2160.0,2350.0,2570.0,2907.0,3040.0,3370.0,3441.5,4066.5,3221.5,tambang
3948.0,5827.5,5057.5,3648.0,3674.0,3782.0,3910.0,4019.0,4235.0,4280.5,4548.5,4396.5,tambang
1392.0,4893.0,4228.0,1665.0,1734.0,1840.0,1878.0,1991.0,2202.0,2476.0,2674.0,2367.0,tambang
1241.0,4457.5,3722.5,1175.0,1420.0,1571.0,1752.0,1887.5,2067.0,2211.5,2590.0,2373.0,tambang
3254.5,5523.0,5009.5,3051.0,3274.0,3614.0,3976.5,4001.5,4117.0,3773.5,4268.5,5504.0,tambang
2070.5,6077.5,5011.5,2094.0,2083.0,2284.0,2652.5,2795.0,3049.0,3229.5,3662.5,3201.5,tambang
2975.0,4091.0,3441.0,2925.0,2904.0,3023.0,3245.5,3264.0,3374.5,3325.5,3628.5,5280.5,tambang
